,Tweet,Pos/Neg
0,"明日のVJです👁‍🗨
今日届いたMacBook Proでぶん回したいと思います🦀 https://t.co/g8RC3mgaCx",neg
1,"RT @weedarks: Twitter j’ai besoin de toi, j’ai trouvé ce MacBook Pro à Toulouse, aide-moi à retrouver la personne car elle a peut-être mis…",neg
2,La MacBook Pro actualizada de 2018 tiene un interior superpoderoso en el mismo cuerpo elegante… https://t.co/C74UHBtID6,neg
3,新型Macbook Pro15″ 2018 開封しました https://t.co/ePXiCy2S4y https://t.co/sLJaGny8yV,neg
4,"RT @76f6a6d67617: 【プレゼント】
MacBook ゴールド

【応募方法】 
フォロー&amp;リツイート の後に
※期限今月末

※リプライで当選確率２倍！！ 

※当選通知はDM となります。
奮ってご応募ください！！ https://t.co/lyUrW4eZyA",neg
5,"RT @Chuuchu69: มาตามสัญญานะคะ‼️
🌸แจกMacbook Pro 2018ค่ะ
🌸รี+ฟอล เลยค่ะ
🌸ประกาศผลวันอาทิตย์เวลา4ทุ่มค่ะ

***ขออนุญาตนัดรับนะคะไม่ส่งให้ค่ะก…",neg
6,RT @yame2_recruit: ベンチャー界隈の人のMacBookにステッカーがベタベタ貼られているのは何故か、140字以内で答えよ。,neg
7,"RT @weedarks: Twitter j’ai besoin de toi, j’ai trouvé ce MacBook Pro à Toulouse, aide-moi à retrouver la personne car elle a peut-être mis…",neg
8,uma coisa imperdoável de Eduarda Campos é ter windows num macbook,neg
9,RT @ponzu_0827: 海外の動画で新型Macbookで目玉焼き作ってるの本当草 https://t.co/cGZ8mjiSNz,neg
10,ご臨終になられたMacBook Pro。丸8年お世話になった。ありがとう。 https://t.co/TGUcEMe1EB,neg
11,"RT @macofking: 大好評♩夏休みも継続♩
MacBook Pro
2017Touch Bar付きモデル
13インチ

誰でも簡単応募！
3分以内に手続き完了！

□応募期間：８月31日
□当選人数：1名
参加者が50人毎に1台増加

□条件：フォロー、リツイート
応…",neg
12,"Look at this hot wooden macbook cover I got from @OneDayOnlycoza whomst are my best friends ✨ #GotWood 

ᵗʰᶦˢ ᵗʷᵉᵉᵗ… https://t.co/M1Mnf6dElU",pos
13,my macbook comes in today so when i’m off all i’m doing is watching netflix,neg
14,"RT @weedarks: Twitter j’ai besoin de toi, j’ai trouvé ce MacBook Pro à Toulouse, aide-moi à retrouver la personne car elle a peut-être mis…",neg
